target,lightcurve_file
0,/content/drive/MyDrive/Data/kepler_3541800_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_3115833_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_4673628_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_4055092_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_3440118_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_3441340_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_4752451_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_3554819_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_5097470_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_3757588_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_5289857_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_3854101_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_3972391_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_3558849_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_5385509_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_3942446_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_5301750_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_5301750_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_5301750_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_5301750_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_5301750_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_4157325_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_4157325_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_4157325_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_4157325_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_3966801_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_3118797_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_3641726_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_5212220_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_4282191_lightcurve.csv
0,/content/drive/MyDrive/Data/kepler_4840263_lightcurve.csv
1,/content/drive/MyDrive/Data/kepler_4936180_lightcurve.csv
